OccurrrenceUrn	Sequence	CriticalSign	TextPassage
urn:cite:hmt:venAsign.1	1	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.2
urn:cite:hmt:venAsign.2	2	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.3
urn:cite:hmt:venAsign.3	3	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.5
urn:cite:hmt:venAsign.4	4	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.7
urn:cite:hmt:venAsign.5	5	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.12
urn:cite:hmt:venAsign.6	6	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.13
urn:cite:hmt:venAsign.7	7	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.14
urn:cite:hmt:venAsign.8	8	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.15
urn:cite:hmt:venAsign.138	138	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.2
urn:cite:hmt:venAsign.139	139	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.6
urn:cite:hmt:venAsign.140	140	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.8
urn:cite:hmt:venAsign.141	141	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.10
urn:cite:hmt:venAsign.358	358	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:3.3
urn:cite:hmt:venAsign.359	359	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:3.4
urn:cite:hmt:venAsign.360	360	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:3.5
urn:cite:hmt:venAsign.361	361	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:3.6
