OccurrrenceUrn	TextPassage
urn:cite:hmt:venAsign.1	urn:cts:greekLit:tlg0012.tlg001.msA:1.2
urn:cite:hmt:venAsign.2	urn:cts:greekLit:tlg0012.tlg001.msA:1.3
urn:cite:hmt:venAsign.3	urn:cts:greekLit:tlg0012.tlg001.msA:1.5
urn:cite:hmt:venAsign.4	urn:cts:greekLit:tlg0012.tlg001.msA:1.7
urn:cite:hmt:venAsign.138	urn:cts:greekLit:tlg0012.tlg001.msA:2.2
urn:cite:hmt:venAsign.139	urn:cts:greekLit:tlg0012.tlg001.msA:2.6
urn:cite:hmt:venAsign.140	urn:cts:greekLit:tlg0012.tlg001.msA:2.8
urn:cite:hmt:venAsign.141	urn:cts:greekLit:tlg0012.tlg001.msA:2.10
urn:cite:hmt:venAsign.358	urn:cts:greekLit:tlg0012.tlg001.msA:3.3
urn:cite:hmt:venAsign.359	urn:cts:greekLit:tlg0012.tlg001.msA:3.4
urn:cite:hmt:venAsign.360	urn:cts:greekLit:tlg0012.tlg001.msA:3.5
urn:cite:hmt:venAsign.361	urn:cts:greekLit:tlg0012.tlg001.msA:3.6
urn:cite:hmt:venAsign.362	urn:cts:greekLit:tlg0012.tlg001.msA:3.10
