Image,Label,Rights
urn:cite:hmt:vaimg.VA082RN_0083,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 82, recto.","This image was derived from an original ï©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ï¿½2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA083RN_0084,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 83, recto.","This image was derived from an original ï©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ï¿½2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA084RN_0085,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 84, recto.","This image was derived from an original ï©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ï¿½2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA085RN_0086,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 85, recto.","This image was derived from an original ï©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ï¿½2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA086RN_0087,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 86, recto.","This image was derived from an original ï©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ï¿½2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA087RN_0088,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 87, recto.","This image was derived from an original ï©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ï¿½2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA088RN_0089,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 88, recto.","This image was derived from an original ï©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ï¿½2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA089RN_0090,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 89, recto.","This image was derived from an original ï©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ï¿½2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA090RN_0091,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 90, recto.","This image was derived from an original ï©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ï¿½2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA091RN_0092,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 91, recto.","This image was derived from an original ï©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is ï¿½2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
